0	37.7	55.1	72.5	90
   0.0000000e+00   2.2475029e-01   2.4247353e-01   2.1981903e-01   2.2359460e-01   2.2072294e-01
   1.0000000e-01   2.2422719e-01   2.2939467e-01   2.2778686e-01   2.3455516e-01   2.2959002e-01
   2.0000000e-01   2.1861570e-01   2.2624219e-01   2.3434167e-01   2.2455853e-01   2.1760046e-01
   3.0000000e-01   2.1926044e-01   2.2816357e-01   2.2627191e-01   2.2938745e-01   2.2408168e-01
   4.0000000e-01   2.1516795e-01   2.1489021e-01   2.2872690e-01   2.2727422e-01   2.3658156e-01
   5.0000000e-01   2.0880457e-01   2.1755765e-01   2.3051442e-01   2.3157307e-01   2.2939362e-01
   6.0000000e-01   2.2341474e-01   2.2466257e-01   2.2945508e-01   2.3679403e-01   2.3555504e-01
   7.0000000e-01   2.1403537e-01   2.1229719e-01   2.2887821e-01   2.3029245e-01   2.3300761e-01
   8.0000000e-01   2.0745258e-01   2.0996740e-01   2.2765532e-01   2.3271576e-01   2.4124437e-01
   9.0000000e-01   2.0775291e-01   2.2629610e-01   2.2244619e-01   2.2833084e-01   2.3199955e-01
   1.0000000e+00   1.9698974e-01   2.1674982e-01   2.1243190e-01   2.2780953e-01   2.2196127e-01
   1.1000000e+00   2.0721147e-01   2.1894752e-01   2.0920428e-01   2.2044649e-01   2.0721155e-01
   1.2000000e+00   2.0276168e-01   2.1106737e-01   2.0005995e-01   2.1334238e-01   2.0454656e-01
   1.3000000e+00   1.9742546e-01   2.0126217e-01   1.9663614e-01   2.0046285e-01   1.9377545e-01
   1.4000000e+00   1.8705585e-01   1.7677821e-01   1.7856749e-01   1.8301595e-01   1.8201755e-01
   1.5000000e+00   1.7217077e-01   1.6737705e-01   1.7117611e-01   1.7030766e-01   1.7022475e-01
   1.6000000e+00   1.5385248e-01   1.4993711e-01   1.5831320e-01   1.5466639e-01   1.5817572e-01
   1.7000000e+00   1.4326778e-01   1.3550723e-01   1.4071548e-01   1.3767337e-01   1.4135282e-01
   1.8000000e+00   1.3860412e-01   1.2717883e-01   1.2887979e-01   1.2554092e-01   1.3367700e-01
   1.9000000e+00   1.1791997e-01   1.1615800e-01   1.1364405e-01   1.1434197e-01   1.1811420e-01
   2.0000000e+00   1.1164606e-01   1.0999356e-01   1.0008271e-01   1.0323089e-01   1.0868212e-01
   2.1000000e+00   1.0007499e-01   9.2437380e-02   9.4589804e-02   9.5593658e-02   9.3582614e-02
   2.2000000e+00   8.6678840e-02   8.4832418e-02   9.0788780e-02   8.6532134e-02   8.3178137e-02
   2.3000000e+00   7.9169580e-02   8.6241387e-02   7.8283267e-02   7.6760064e-02   8.2680717e-02
   2.4000000e+00   7.0790613e-02   7.1745456e-02   7.3422694e-02   6.8576918e-02   6.7230694e-02
   2.5000000e+00   6.8978949e-02   6.4797360e-02   6.5554103e-02   5.9073514e-02   5.9985654e-02
   2.6000000e+00   5.6097911e-02   6.2370768e-02   6.1132323e-02   5.7391568e-02   5.5918325e-02
   2.7000000e+00   5.1207303e-02   5.7296624e-02   4.9170663e-02   4.8212090e-02   4.7395593e-02
   2.8000000e+00   4.8969424e-02   4.6330846e-02   4.0804647e-02   4.2755970e-02   4.2473818e-02
   2.9000000e+00   4.9384107e-02   4.3983521e-02   4.4535117e-02   4.3243121e-02   4.0017312e-02
   3.0000000e+00   4.2476722e-02   3.7235508e-02   3.9117832e-02   3.8308537e-02   3.5332795e-02
   3.1000000e+00   3.9250637e-02   3.5362947e-02   2.9294945e-02   3.2979715e-02   3.4078292e-02
   3.2000000e+00   3.5394358e-02   3.1067848e-02   3.2210839e-02   3.4108787e-02   2.7072321e-02
   3.3000000e+00   3.1059257e-02   2.8340222e-02   3.0899485e-02   2.6804612e-02   2.6586326e-02
   3.4000000e+00   3.0358159e-02   2.4611691e-02   2.5075057e-02   2.0040794e-02   2.2950575e-02
   3.5000000e+00   2.3861977e-02   2.4251674e-02   1.9835168e-02   2.2445103e-02   2.0923266e-02
   3.6000000e+00   2.2624826e-02   2.0009297e-02   2.0382534e-02   1.6768461e-02   1.9267022e-02
   3.7000000e+00   1.8599399e-02   1.7980210e-02   1.9105909e-02   1.9834234e-02   1.9994809e-02
   3.8000000e+00   2.0283603e-02   1.4571803e-02   1.8487421e-02   1.5523953e-02   1.3063600e-02
   3.9000000e+00   1.7008553e-02   1.3993163e-02   1.4203757e-02   1.0942881e-02   1.4184124e-02
   4.0000000e+00   1.9206774e-02   1.6417291e-02   1.6216174e-02   1.3302181e-02   8.7471030e-03
   4.1000000e+00   9.8002620e-03   1.5569633e-02   1.0945564e-02   1.4818256e-02   1.0855227e-02
   4.2000000e+00   1.6619166e-02   1.2331777e-02   1.3865264e-02   1.0978053e-02   1.4975451e-02
   4.3000000e+00   1.2838120e-02   1.0468242e-02   1.1791120e-02   7.6165170e-03   8.5747830e-03
   4.4000000e+00   1.2951608e-02   1.0364852e-02   1.1141065e-02   5.7332790e-03   7.6591850e-03
   4.5000000e+00   1.2343121e-02   8.8061710e-03   6.3340710e-03   1.0172085e-02   7.3669780e-03
   4.6000000e+00   1.0268731e-02   6.2590670e-03   7.6312880e-03   7.5968060e-03   3.7929040e-03
   4.7000000e+00   1.3434570e-02   7.3414310e-03   6.7345710e-03   4.4048720e-03   7.3846660e-03
   4.8000000e+00   8.2889520e-03   8.7731140e-03   5.4235090e-03   8.1274530e-03   7.4061710e-03
   4.9000000e+00   5.8284950e-03   7.4519090e-03   7.1613010e-03   4.3309190e-03   8.3568590e-03
   5.0000000e+00   8.7264200e-03   6.1196980e-03   4.2720500e-03   6.9318390e-03   5.7529050e-03
   5.1000000e+00   6.6908780e-03   4.4460070e-03   7.4806380e-03   6.9426740e-03   6.1809430e-03
   5.2000000e+00   7.6204410e-03   7.3306420e-03   5.7134380e-03   5.5279440e-03   2.4273390e-03
   5.3000000e+00   4.7660270e-03   4.8784550e-03   4.3490150e-03   4.2762440e-03   7.4745660e-03
   5.4000000e+00   6.3060180e-03   1.1915940e-03   1.8873690e-03   1.3036070e-03   2.9702480e-03
